PlayerId,1,2,3
LTay00,Leonard Taylor,,
LWat00,Leroy Watson IV,,
LHum00,Lil'Jordan Humphrey,,
LTho00,Logan Thomas,,
LWoo00,Logan Woodside,,
LHav00,Lucas Havrisik,,
LKru00,Lucas Krull,,
LFar00,Luke Farrell,,
LMus00,Luke Musgrave,,
LSch00,Luke Schoonmaker,,
LBow00,Lynn Bowden Jr.,Lynn Bowden,
MJon00,Mac Jones,,
MHol00,Mack Hollins,,
MBro00,Malcolm Brown,,
MCun00,Malik Cunningham,,
MDav00,Malik Davis,,
MHea00,Malik Heath,,
MKno00,Malik Knowles,,
MTay00,Malik Taylor,,
MTur00,Malik Turner,,
MWil00,Malik Willis,,
MLew00,Marcedes Lewis,,
MJoh00,Marcus Johnson,,
MKem00,Marcus Kemp,,
MMar00,Marcus Mariota,,
MAnd00,Mark Andrews,,
MIng00,Mark Ingram,Mark Ingram II,
MMic00,Marken Michel,,
MMac00,Marlon Mack,,
MCal00,Marquez Callaway,,
MVal00,Marquez Valdes-Scantling,,
MBro01,Marquise Brown,,
MGoo00,Marquise Goodwin,,
MJon01,Marvin Jones,Marvin Jones Jr.,
MMim00,Marvin Mims,Marvin Mims Jr.,
MCro00,Mason Crosby,,
MKin00,Mason Kinsey,,
MRud00,Mason Rudolph,,
MSch00,Mason Schreck,,
MAmm00,Matt Ammendola,,
MBar00,Matt Barkley,,
MBre00,Matt Breida,,
MBus00,Matt Bushman,,
MCor00,Matt Corral,,
MGay00,Matt Gay,,
MPra00,Matt Prater,,
MRya00,Matt Ryan,,
MSok00,Matt Sokol,,
MOrz00,Matthew Orzech,,
MSla00,Matthew Slater,,
MSta00,Matthew Stafford,,
MWri00,Matthew Wright,,
MAle00,Maurice Alexander,,
MDug00,Max Duggan,,
MWil01,Maxx Williams,,
MHar00,Mecole Hardman,Mecole Hardman Jr.,
MGor00,Melvin Gordon,Melvin Gordon III,
MBad00,Michael Badgley,,
MBan00,Michael Bandy,,
MBur00,Michael Burton,,
MCar00,Michael Carter,,
MGal00,Michael Gallup,,
MMay00,Michael Mayer,,
MPit00,Michael Pittman Jr.,Michael Pittman,
MTho00,Michael Thomas,,
MWil02,Michael Wilson,,
MWoo00,Michael Woods II,Michael Woods,
MBoo00,Mike Boone,,
MDav01,Mike Davis,,
MEva00,Mike Evans,,
MGes00,Mike Gesicki,,
MStr00,Mike Strachan,,
MTho01,Mike Thomas,,
MWhi00,Mike White,,
MWil03,Mike Williams,,
MBoy00,Miles Boykin,,
MSan00,Miles Sanders,,
MFor00,Miller Forristall,,
MTin00,Mitchell Tinsley,,
MTru00,Mitchell Trubisky,Mitch Trubisky,
MWil04,Mitchell Wilcox,,
MAli00,Mo Alie-Cox,,
MIbr00,Mohamed Ibrahim,Mo Ibrahim,
MWas00,Montrell Washington,,
MPru00,MyCole Pruitt,,
MGas00,Myles Gaskin,,
NHar00,N'Keal Harry,,
NHar01,Najee Harris,,
NAdk00,Nate Adkins,,
NSud00,Nate Sudfeld,,
NPet00,Nathan Peterman,,
NAgh00,Nelson Agholor,,
NBaw00,Nick Bawden,,
NBel00,Nick Bellore,,
NBoy00,Nick Boyle,,
NChu00,Nick Chubb,,
NFol00,Nick Foles,,
NFol01,Nick Folk,,
NMul00,Nick Mullens,,
NMus00,Nick Muse,,
NSci00,Nick Sciba,,
NVan00,Nick Vannett,,
NWes00,Nick Westbrook-Ikhine,,
NCol00,Nico Collins,,
NKal00,Nikola Kalinic,,
NBro00,Noah Brown,,
NFan00,Noah Fant,,
NGra00,Noah Gray,,
NTog00,Noah Togiai,,
NWeb00,Nsimba Webster,,
NHin00,Nyheim Hines,,
OHow00,O.J. Howard,OJ Howard,
OBec00,Odell Beckham Jr.,Odell Beckham,
OZac00,Olamide Zaccheaus,,
OWri00,Owen Wright,,
PWal00,P.J. Walker,PJ Walker,
PHes00,Parker Hesse,,
PWas00,Parker Washington,,
PCam00,Parris Campbell,,
PFre00,Pat Freiermuth,,
PLai00,Patrick Laird,,
PMah00,Patrick Mahomes,Patrick Mahomes II,
PRic00,Patrick Ricard,,
PTay00,Patrick Taylor,Patrick Taylor Jr.,
PDur00,Payne Durham,,
PHar00,Penny Hart,,
PHen00,Peyton Hendershot,,
PBro00,Pharaoh Brown,,
PCoo00,Pharoh Cooper,,
PDor00,Phillip Dorsett,Phillip Dorsett II,
PLin00,Phillip Lindsay,,
PStr00,Pierre Strong,Pierre Strong Jr.,
PWil00,Preston Williams,,
PFan00,Princeton Fant,,
PNac00,Puka Nacua,,
QOll00,Qadree Ollison,,
QJoh00,Quentin Johnston,,
QWat00,Quez Watkins,,
QNor00,Quinn Nordin,,
QCep00,Quintez Cephus,,
QMor00,Quintin Morris,,
QBel00,Quinton Bell,,
RHen00,Ra'Shaun Henry,,
RMcM00,Racey McMath,,
RWhi00,Rachaad White,,
RBla00,Raheem Blackshear,,
RMos00,Raheem Mostert,,
RJar00,Rakim Jarrett,,
RWeb00,Raleigh Webb,,
